restaurantRating,restaurantName,restaurantAddress,restaurantCuisine,restaurantContact,restaurantBusinessHours,restaurantPricing,isHalal
4.5,Jawi House Cafe Gallery,"85, Lbh Armenian, George Town, 10200 George Town, Pulau Pinang",Malay ,04-261 3680,"{'Friday': '11 am to 9:30 pm', 'Saturday': '11 am to 9:30 pm', 'Sunday': '11 am to 9:30 pm', 'Monday': '11 am to 9:30 pm', 'Tuesday': 'Closed', 'Wednesday': '11 am to 9:30 pm', 'Thursday': '11 am to 9:30 pm'}",2,Yes
4.8,Restoran KSB Cahaya Maju,"454, Beach St, Georgetown, 10300 George Town, Penang",Malay ,014-340 6021,"{'Friday': '7 pm to 2 am', 'Saturday': '7 pm to 2 am', 'Sunday': '7 pm to 2 am', 'Monday': '7 pm to 2 am', 'Tuesday': '7 pm to 2 am', 'Wednesday': '7 pm to 2 am', 'Thursday': '7 pm to 2 am'}",1,Yes
4.6,Lagenda House & Cafe,"2, Lebuh Carnarvon, George Town, 10100 George Town, Pulau Pinang",Malay ,019-472 9030,"{'Friday': '12 to 11 pm', 'Saturday': '12 to 11 pm', 'Sunday': '12 to 11 pm', 'Monday': '12 to 10 pm', 'Tuesday': '12 to 10 pm', 'Wednesday': 'Closed', 'Thursday': '12 to 10 pm'}",2,Yes
4.6,Irama Dining,"2nd Floor, 2, Penang St, George Town, 10200 George Town, Pulau Pinang",Malay ,012-622 9251,"{'Friday': '12 to 10 pm', 'Saturday': '12 to 11 pm', 'Sunday': '12 to 11 pm', 'Monday': '12 to 10 pm', 'Tuesday': 'Closed', 'Wednesday': '12 to 10 pm', 'Thursday': '12 to 10 pm'}",2,Yes
3.9,Sup Hameed,"48, Jln Penang, George Town, 10000 George Town, Pulau Pinang",Indian Muslim ,04-261 8007,"{'Friday': '7:30 am to 3 am', 'Saturday': '7:30 am to 3 am', 'Sunday': '7:30 am to 3 am', 'Monday': '7:30 am to 3 am', 'Tuesday': '7:30 am to 3 am', 'Wednesday': '7:30 am to 3 am', 'Thursday': '7:30 am to 3 am'}",1,Yes
3.9,Nasi Kandar Beratur Original,"98, Jln Masjid Kapitan Keling, George Town, 10200 George Town, Pulau Pinang",Indian Muslim ,012-448 3001,"{'Friday': '12 to 6 am, 9:30 pm to 12 am', 'Saturday': '12 to 6 am, 9:30 pm to 12 am', 'Sunday': '12 to 6 am, 9:30 pm to 12 am', 'Monday': '12 to 6 am, 9:30 pm to 12 am', 'Tuesday': '12 to 6 am, 9:30 pm to 12 am', 'Wednesday': '12 to 6 am, 9:30 pm to 12 am', 'Thursday': '12 to 6 am, 9:30 pm to 12 am'}",2,Yes
4.4,Deens Maju Nasi Kandar,"170, Jalan Gurdwara, 10300 George Town, Pulau Pinang",Indian Muslim ,012-425 2421,"{'Friday': 'Closed', 'Saturday': '12 to 10 pm', 'Sunday': '12 to 10 pm', 'Monday': '12 to 10 pm', 'Tuesday': '12 to 10 pm', 'Wednesday': '12 to 10 pm', 'Thursday': '12 to 10 pm'}",1,Yes
4.2,"Passions Of Kerala@Brown Garden ,Gelugor","No-3&5, Lorong Endah 4, Taman Brown, 11700 Gelugor, Pulau Pinang",Indian ,04-657 8550,"{'Friday': '11 am to 3:30 pm, 6 to 9 pm', 'Saturday': '11 am to 3 pm, 6 to 9 pm', 'Sunday': '11 am to 3 pm, 6 to 9 pm', 'Monday': '11 am to 3 pm, 6 to 9 pm', 'Tuesday': 'Closed', 'Wednesday': '11 am to 3 pm, 6 to 9 pm', 'Thursday': '11 am to 3 pm, 6 to 9 pm'}",2,No
4.1,Woodlands Vegetarian Restaurant,"60, Lebuh Penang, George Town, 10200 George Town, Pulau Pinang",Indian ,04-263 9764,"{'Friday': '8:30 am to 9 pm', 'Saturday': '8:30 am to 9 pm', 'Sunday': '8:30 am to 9 pm', 'Monday': '8:30 am to 9 pm', 'Tuesday': '8:30 am to 9 pm', 'Wednesday': '8:30 am to 9 pm', 'Thursday': '8:30 am to 10 pm'}",2,No
4.1,Gem Restaurant,"66, Lebuh Bishop, George Town, 10450 George Town, Pulau Pinang",Indian ,04-262 4070,"{'Friday': '11 am to 11 pm', 'Saturday': '11 am to 11 pm', 'Sunday': '11 am to 11 pm', 'Monday': '11 am to 11 pm', 'Tuesday': '11 am to 11 pm', 'Wednesday': '11 am to 11 pm', 'Thursday': '11 am to 11 pm'}",2,No
